GW-Nummer;Messstelle;Datum;Abstich [cm];LF [µS/cm];pH [ -];O2 [mg/l];O2-Sätt [%];Q [l/s];T [°C];F [mg/l];Mg [mg/l];PO4 [mg/l];NH4 [mg/l];Ca [mg/l];Cl [mg/l];DOC [mg/l];Fe [mg/l];Mn [mg/l];Na [mg/l];NO3 [mg/l];P, ges [mg/l];KS 4,3 [mmol/l];KS 8,2 [mmol/l];SO4 [mg/l];GH [mmol/l];Tr.quant [FNU];K [mg/l]
9901/256-9;BBR 2 neu Firma Metalux GmbH, Altlußheim;07.09.2011 10:25;;747;7.29;;;;13;;16.9;;0.04;139;31.8;;;;16.7;21.2;0.023;4.66;;147;4.16;;3
9901/256-9;BBR 2 neu Firma Metalux GmbH, Altlußheim;12.03.2012 09:35;;769;7.22;1.1;10;;12.8;;;;0.04;;;;;;;14.6;;;;;;;
9901/256-9;BBR 2 neu Firma Metalux GmbH, Altlußheim;13.09.2012 09:45;;793;;0.8;8;;13.5;;18;5;0.04;141;33.5;;;;21.1;16.5;;4.85;;;4.26;;3
9901/256-9;BBR 2 neu Firma Metalux GmbH, Altlußheim;19.03.2013 10:30;;;7.29;0.4;4;;13.2;0.05;17.4;3;0.05;127.1;32.5;1;0.757;0.15;22.6;11.5;;4.8;;149;3.89;;3.1
9901/256-9;BBR 2 neu Firma Metalux GmbH, Altlußheim;17.09.2013 12:35;;;7.16;0.6;7;;13.4;;16.3;1;0.05;129;30.9;;;;19;11.5;;4.8;;135;3.89;;3
9901/256-9;BBR 2 neu Firma Metalux GmbH, Altlußheim;24.03.2014 09:20;;793;7.3;;;;12.6;;;;0.04;;;;;;;12.1;;;;;;;
9901/256-9;BBR 2 neu Firma Metalux GmbH, Altlußheim;30.09.2014 09:55;;735;7.22;1;9.4;;13.5;;17.3;0.51;0.06;136;31;;;;25.8;11.4;;4.86;;163;4.1;;3.16
9901/256-9;BBR 2 neu Firma Metalux GmbH, Altlußheim;24.03.2015 12:20;;695;7.28;0.6;6.4;;13.3;;;;0.04;;;;;;;12.7;;;;;;;
9901/256-9;BBR 2 neu Firma Metalux GmbH, Altlußheim;15.09.2015 07:20;;714;7.24;2.1;19.8;;13.1;;16;0.58;0.05;126;29;;;;19.5;10.6;;4.5;;139;3.8;;2.8
9901/256-9;BBR 2 neu Firma Metalux GmbH, Altlußheim;24.03.2016 08:10;;661;;2.9;28.2;;;;;;0.02;;;;;;;;;;;;;;
9901/256-9;BBR 2 neu Firma Metalux GmbH, Altlußheim;15.09.2016 14:54;;724;7.24;;;;13.5;;16.6;0.331;0.05;126;24.7;;;;18.1;6.9;;4.74;;134;3.83;;2.8
9901/256-9;BBR 2 neu Firma Metalux GmbH, Altlußheim;30.03.2017 07:25;;704;7.3;2.2;21.6;;13;;;;0.05;;;;;;;10;;;;;;;
9901/256-9;BBR 2 neu Firma Metalux GmbH, Altlußheim;13.09.2017 08:30;;687;7.13;1.8;14;;13;0.06;15.9;0.04;0.05;134.5;28.1;1.2;0.506;0.11;15.8;10.3;;4.7;;131;4.01;;3
9901/256-9;BBR 2 neu Firma Metalux GmbH, Altlußheim;01.03.2018 15:06;;701;7.27;;;;12.5;;;;0.06;;;;;;;7.9;;;;;;;
9901/256-9;BBR 2 neu Firma Metalux GmbH, Altlußheim;20.08.2018 13:10;;677;7.25;0.3;3;;13.6;;;;0.06;;;;;;;9.8;;;;;;;
9901/256-9;BBR 2 neu Firma Metalux GmbH, Altlußheim;14.03.2019 09:25;;716;7.32;1.2;12;;12.4;;;;0.07;;;;;;;10;;;;;;;
9901/256-9;BBR 2 neu Firma Metalux GmbH, Altlußheim;04.09.2019 09:25;;696;7.33;0.4;4;;13.1;;;;0.06;;;;;;;11;;;;;;;
1112/259-5;BBR 2 Städtisches Klinikum Bau A, KA-Weststadt;13.10.2006 14:40;;641;7.16;1.1;11;;13.6;;;;;;;;;;;7.9;;;;;;;
1112/259-5;BBR 2 Städtisches Klinikum Bau A, KA-Weststadt;14.02.2007 09:20;;632;7.32;0.4;4;;13.9;0.06;11.9;;;115;26.7;0.89;0.23;0.12;20.5;8.1;;4.89;;83.5;3.36;0.14;4.7
1112/259-5;BBR 2 Städtisches Klinikum Bau A, KA-Weststadt;11.09.2008 14:30;;668;7.19;1.5;15;;14.2;;12.1;0.01;;113;38.1;;;;24.2;8.6;0.003;5.19;;82.3;3.32;;5.1
1112/259-5;BBR 2 Städtisches Klinikum Bau A, KA-Weststadt;24.11.2008 10:40;;660;7.15;;;;;;;;;;;;;;;;;;;;;;
1112/259-5;BBR 2 Städtisches Klinikum Bau A, KA-Weststadt;15.09.2009 11:30;;681;7.12;1.7;16;;14.1;;15.6;;;115;37.4;;;;24;7.8;;5.45;;76.1;3.5;;4.9
1112/259-5;BBR 2 Städtisches Klinikum Bau A, KA-Weststadt;25.03.2010 11:05;;634;7.22;1;9.9;;13.8;;;;;;;;;;;7.6;;;;;;;
1112/259-5;BBR 2 Städtisches Klinikum Bau A, KA-Weststadt;07.07.2010 10:40;;629;7.17;1.5;14;;14;0.08;12.5;;;113.2;40.2;0.9;0.047;;25;8.4;0.005;5.2;;84;3.34;0.63;5.4
1112/259-5;BBR 2 Städtisches Klinikum Bau A, KA-Weststadt;14.09.2011 08:40;;622;7.27;0.9;9;;14.1;;12;0.03;0.02;109;34.8;;;;22;3.4;;5.05;;72.9;3.21;;4.4
1112/259-5;BBR 2 Städtisches Klinikum Bau A, KA-Weststadt;03.09.2012 10:45;;625;;1.1;11;;14.3;;;;0.30;;;;;;;3.3;;;;;;;
1112/259-5;BBR 2 Städtisches Klinikum Bau A, KA-Weststadt;21.05.2013 10:30;;;7.22;0.4;4;;14.3;0.06;12.2;;0.03;109.5;36.4;0.8;0.303;0.04;21.6;4;;5.1;;74;3.23;;4.6
1112/259-5;BBR 2 Städtisches Klinikum Bau A, KA-Weststadt;05.09.2013 12:15;;716;;2.5;26;;15.1;;;;;;;;;;;7.1;;;;;;;
1112/259-5;BBR 2 Städtisches Klinikum Bau A, KA-Weststadt;17.09.2014 08:45;;626;7.26;1.2;12;;15;;;;0.03;;;;;;;3.1;;;;;;;
1112/259-5;BBR 2 Städtisches Klinikum Bau A, KA-Weststadt;18.12.2014 08:30;;694;7.1;0.9;9;;13.9;;;;;;;;;;;;;;;;;;
1112/259-5;BBR 2 Städtisches Klinikum Bau A, KA-Weststadt;02.09.2015 11:00;;720;7.19;1.7;17;;14.4;;;;;;;;;;;4.2;;;;;;;
1112/259-5;BBR 2 Städtisches Klinikum Bau A, KA-Weststadt;21.09.2016 09:00;;700;7.2;0.7;7;;14.1;;;;;;;;;;;4.1;;;;;;;
1112/259-5;BBR 2 Städtisches Klinikum Bau A, KA-Weststadt;26.09.2018 10:10;;654;;1.1;11;;14.2;;;;;133;57.1;;;;30.1;5.3;;;;69.8;;;4.5
1112/259-5;BBR 2 Städtisches Klinikum Bau A, KA-Weststadt;15.11.2018 14:45;;638;7.13;0.8;8;;15.1;0.07;12.1;;;116.9;53.9;0.9;;0.01;26;5.9;;4.9;;60;3.41;;6.2
1112/259-5;BBR 2 Städtisches Klinikum Bau A, KA-Weststadt;24.09.2019 07:50;;668;7.19;0.9;8.9;;14.5;;;;;;;;;;;6.7;;;;;;;
0179/308-7;BBR 3 Firma Vivell GmbH, KA-Hambrücken;12.10.2006 11:17;252;602;7.35;0.1;0.5;;13.5;;;;;;;;;;;63.4;;;;;;;
0179/308-7;BBR 3 Firma Vivell GmbH, KA-Hambrücken;24.06.2009 12:38;259;585;7.34;0.3;3.4;;13.3;0.09;10.9;;0.01;102.5;19.8;2.1;;0.64;11;58.9;0.011;3.7;;77;3.01;0.92;2
0179/308-7;BBR 3 Firma Vivell GmbH, KA-Hambrücken;24.09.2009 15:00;285;620;7.3;;;;;;;;0.01;;;;;;;54;;;;;;;
0179/308-7;BBR 3 Firma Vivell GmbH, KA-Hambrücken;21.09.2011 15:15;250;566;7.4;1;11;;13.4;0.1;11.6;;;101.3;20.3;1.9;;0.74;10.6;58.5;;3.6;;76;3;;1.4
0179/308-7;BBR 3 Firma Vivell GmbH, KA-Hambrücken;11.09.2013 11:55;232;577;7.34;;;;13.2;;11;;;106;19;;;;11;60.1;;3.66;;78;3.1;;3.8
0179/308-7;BBR 3 Firma Vivell GmbH, KA-Hambrücken;17.03.2014 14:00;190;568;7.53;1.8;17;;13.2;0.09;10.9;;0.01;97.9;18.2;2.1;;0.50;9.8;58.4;;3.7;;69;2.89;;1.4
0179/308-7;BBR 3 Firma Vivell GmbH, KA-Hambrücken;16.09.2015 15:05;255;639;7.28;2.7;26.9;;13.7;;11.9;0.013;;112;;;;;17.2;;;4.3;;92;3.28;;1.74
0179/308-7;BBR 3 Firma Vivell GmbH, KA-Hambrücken;28.09.2016 11:30;246;662;7.2;0.2;2;;13.4;;;;;;;;;;;;;;;;;;
0179/308-7;BBR 3 Firma Vivell GmbH, KA-Hambrücken;15.09.2018 12:05;280;543;7.43;0.4;4;;13.7;;11.7;;;106;17.6;;;;9.5;56.2;;3.45;;88;3.13;;1.4
0179/308-7;BBR 3 Firma Vivell GmbH, KA-Hambrücken;11.12.2018 09:00;276;532;7.3;0.5;5;;13.7;0.09;10.6;;;95.4;16.1;2.2;;0.52;9.5;50.7;;3.7;;71;2.82;;1.8
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;12.01.2006 10:15;303;1;7.25;;;;12.7;;;;;;;;;;;22;;;;;;;
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;15.03.2006 10:15;298;993;7.27;;;;12;;;;;;;;;;;27;;;;;;;
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;10.05.2006 09:20;318;820;7.25;;;;12.5;;;;0.04;;;;;;;1.3;;;;;;;
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;14.07.2006 10:35;300;890;7.25;;;;12.6;;;;0.06;;;;;;;2.3;;;;;;;
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;06.09.2006 15:00;;890;7.12;;;;13.4;;21.9;0.17;0.05;160;41.8;;;;23.4;9.7;0.07;6.67;;155;4.9;;15
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;02.11.2006 13:45;268;945;7.18;;;;13.5;;;;;;;;;;;16.3;;;;;;;
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;14.03.2007 15:05;300;;7.11;0.8;8;;13;;;;0.02;;;;;;;18.2;;;;;;;
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;06.08.2007 09:20;;834;7.08;0.1;1;;13.9;;;;;;;;;;;;;;;;;;
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;13.09.2007 08:10;;820;7;0.7;6;;13.5;0.08;17.2;0.093;0.08;148;38.1;1.85;0.42;0.49;18.8;5.6;0.03;6.21;;133;4.4;2.32;12.1
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;10.03.2008 11:10;;884;7.23;1.6;16;;12.2;;;;0.02;;;;;;;8.4;;;;;;;
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;11.09.2008 11:02;281;845;7.14;;;;13.3;;15.9;0.175;;138;39;;;;18.9;6;0.057;6.53;;138;4.1;;12.5
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;15.10.2008 13:15;;856;7.1;0.2;2;;13.7;;;;;;;;;;;;;;;;;;
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;24.11.2008 15:10;286;842;7.05;0.2;2;;13.5;;;;;;;;;;;;;;;;;;
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;09.03.2009 09:25;;838;7.24;1.5;14;;11.8;;;;0.01;;;;;;;11;;;;;;;
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;28.09.2009 10:15;;796;6.96;;28.6;;;;15;0.58;0.06;136;;;;;18;12.1;0.2;6.61;;105;4.01;;28
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;27.10.2009 18:00;;828;7.11;0.3;3;;13.2;;;;;;;;;;;;;;;;;;
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;24.02.2010 09:45;267;868;7.13;1;10;;11.8;0.08;17.5;0.267;0.02;151.2;32.5;2.5;0.035;0.33;20;14.6;0.096;6.8;;145;4.49;0.55;25.7
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;20.09.2010 11:30;257;858;7.12;0.1;1;;13.3;;17;0.24;0.04;168;35;;;;21;14;0.06;6.91;;121;4.89;;19
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;23.11.2010 14:50;;884;7.09;0.3;3;;13;;;;;;;;;;;;;;;;;;
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;15.03.2011 09:02;240;895;7.08;;;;11.8;;;;0.02;;;;;;;18.2;;;;;;;
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;07.09.2011 11:09;305;888;7.12;;;;13.1;;17.5;0.088;0.03;160;34.6;;;;21.1;12;0.058;6.61;;148;4.71;;16.9
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;16.03.2012 14:09;284;856;7.17;0.7;6;;12.7;;;;;;;;;;;22.7;;;;;;;
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;11.09.2012 15:30;310;;7.28;0.1;1.4;;13.7;;15.8;;0.16;125;28.5;;;;14.6;;0.035;5.12;;114;3.77;;2.4
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;13.03.2013 09:00;;916;7.01;;;;11.4;0.07;18;0.248;0.01;154.8;27;2.2;0.019;0.28;23.5;42.1;;7.1;;129;4.6;;23
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;17.09.2013 13:35;;;7.06;0.6;8;;14;;15;0.217;0.14;129;27.3;;;;16;1.3;;5.35;;115;3.84;;5.7
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;11.03.2014 15:30;250;874;7.09;1.4;13.6;;12.4;;;;0.01;;;;;;;43.5;;;;;;;
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;08.09.2014 11:28;280;817;7.22;;;;13.8;;15.6;0.154;;149;29.1;;;;19.3;10.1;;6.07;;139;4.36;;8.69
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;24.03.2015 09:45;254;840;7.08;1;10.1;;12.3;;;;;;;;;;;52.4;;;;;;;
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;22.09.2015 16:53;305;785;7.08;;;;14.2;;14.9;0.147;0.02;137;25.1;;;;18.1;21;;6.15;;118;4.03;;10.2
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;01.03.2016 12:06;273;867;7.06;;;;12.7;;;;;;;;;;;19.2;;;;;;;
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;14.09.2016 11:00;;706;7.22;1.4;14;;15.2;;16.1;0.24;0.04;139;29;;;;21.2;13;;6.17;;126;4.13;;10.2
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;02.03.2017 11:30;;801;7.06;0.5;5;;12.7;;;;;;;;;;;23.8;;;;;;;
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;26.09.2017 16:40;;704;7.17;0.3;3.4;;14;;;;0.02;;;;;;;7.5;;;;;;;
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;01.03.2018 15:34;223;781;7.14;;;;12;;14.8;0.409;;136;23;2.2;;0.28;22.1;28.2;;6.24;;100;4;;18.6
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;20.08.2018 11:35;;628;7.25;0.1;1;;13.7;;;;0.11;;;;;;;1;;;;;;;
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;14.03.2019 10:05;;811;7.13;2;19;;12.6;;;;0.03;;;;;;;26.7;;;;;;;
0110/306-5;BBR 3112 Insultheimerhof, Hockenheim;02.09.2019 12:05;;673;7.22;0.2;2;;14.3;;;;0.03;;;;;;;12;;;;;;;
0054/308-0;BBR 4 Wasserwerk, Bruchsal;16.01.2006 14:40;;730;6.98;0.8;8;;11.3;;;;0.01;;;;;;;42.9;;;;;;;
0054/308-0;BBR 4 Wasserwerk, Bruchsal;13.03.2006 14:55;;722;7.12;0.6;6;;11.2;;;;;;;;;;;42.7;;;;;;;
0054/308-0;BBR 4 Wasserwerk, Bruchsal;08.05.2006 13:45;;721;7.17;0.1;1;;11.2;;;;;;;;;;;41.7;;;;;;;
0054/308-0;BBR 4 Wasserwerk, Bruchsal;17.07.2006 14:05;;721;7.25;1;9;;11.2;;;;;;;;;;;41.2;;;;;;;
0054/308-0;BBR 4 Wasserwerk, Bruchsal;05.09.2006 09:45;;719;7.14;0.8;7;;11.2;;;;0.02;;;;;;;39.7;;;;;;;
0054/308-0;BBR 4 Wasserwerk, Bruchsal;03.11.2006 10:30;;713;7.08;1.8;17;;11.3;;;;;;;;;;;30.4;;;;;;;
0054/308-0;BBR 4 Wasserwerk, Bruchsal;22.03.2007 09:35;;709;7.14;0.7;6;;11.5;;;;0.01;;;;;;;34.9;;;;;;;
0054/308-0;BBR 4 Wasserwerk, Bruchsal;14.06.2007 12:30;;712;7.25;0.7;7;;11.7;;15.9;;;123;36.4;0.81;0.01;0.32;11;30.5;;5.3;;82.1;3.72;0.05;11
0054/308-0;BBR 4 Wasserwerk, Bruchsal;30.08.2007 12:30;;710;7.14;0.6;5.5;;11.8;;16.6;;;132;37.2;;;;11.6;27.9;;5.34;;86.3;3.98;;10.8
0054/308-0;BBR 4 Wasserwerk, Bruchsal;11.12.2007 14:00;;706;7.1;;;;11.4;;;;;;;;;;;27.9;;;;;;;
0054/308-0;BBR 4 Wasserwerk, Bruchsal;04.03.2008 08:00;;719;;0.3;3;;11.6;;;;;;;;;;;31.4;;;;;;;
0054/308-0;BBR 4 Wasserwerk, Bruchsal;19.06.2008 14:15;;722;7.12;;;;11.6;;;;;;;;;;;29.6;;;;;;;
0054/308-0;BBR 4 Wasserwerk, Bruchsal;12.09.2008 10:13;;697;7.14;3.9;36;;11.5;;16.1;;0.03;114;36.5;;;;12.1;37.9;;5.21;;72.7;3.5;;10.8
0054/308-0;BBR 4 Wasserwerk, Bruchsal;05.12.2008 10:21;;698;7.12;0.3;3;;11.5;;;;;;;;;;;33.4;;;;;;;
0054/308-0;BBR 4 Wasserwerk, Bruchsal;12.03.2009 07:30;;715;;;;;10.8;;;;0.01;;;;;;;;;;;;;;
0054/308-0;BBR 4 Wasserwerk, Bruchsal;24.06.2009 10:00;;713;7.17;0.7;7;;12.9;;;;;;;;;;;33.6;;;;;;;
0054/308-0;BBR 4 Wasserwerk, Bruchsal;24.09.2009 09:30;;705;7.11;0.6;6;;11.5;;19.4;;;124;36.7;;;;12;31.6;0.01;5.22;;82.5;3.9;;11.4
0054/308-0;BBR 4 Wasserwerk, Bruchsal;03.12.2009 14:15;;707;7.2;1.5;14;;11.6;;;;;;;;;;;35;;;;;;;
0054/308-0;BBR 4 Wasserwerk, Bruchsal;18.03.2010 11:00;;689;7.17;0.9;8;;10.9;0.09;16.2;;;122.1;37.9;1;;0.24;11;35;;5.1;;83;3.71;0.36;10.5
0054/308-0;BBR 4 Wasserwerk, Bruchsal;09.06.2010 08:45;;669;7.13;1.2;11;;12.5;;;;;;;;;;;36;;;;;;;
0054/308-0;BBR 4 Wasserwerk, Bruchsal;23.09.2010 10:20;;680;7.18;0.4;3;;13.3;;15.5;0.06;;124.7;38.4;;;;12.3;35.7;0.022;5.15;;81.5;3.75;;11.6
0054/308-0;BBR 4 Wasserwerk, Bruchsal;02.12.2010 09:15;;700;7.19;0.9;8;;11;;;;;;;;;;;33.2;;;;;;;
0054/308-0;BBR 4 Wasserwerk, Bruchsal;16.03.2011 09:35;;695;7.19;2.3;21;;11.1;;;;0.01;;;;;;;31.4;;;;;;;
0054/308-0;BBR 4 Wasserwerk, Bruchsal;30.06.2011 09:15;;697;7.23;0.8;8;;11.4;;;;;;;;;;;31.9;;;;;;;
0054/308-0;BBR 4 Wasserwerk, Bruchsal;07.09.2011 08:44;;679;7.13;1.1;10.3;;11.4;;16.3;0.01;;126;36.4;;;;11.2;32.8;0.005;5.13;;77.5;3.81;;10.7
0054/308-0;BBR 4 Wasserwerk, Bruchsal;15.12.2011 09:00;;706;7.2;0.8;8;;11.4;;;;;;;;;;;33;;;;;;;
0054/308-0;BBR 4 Wasserwerk, Bruchsal;06.03.2012 09:20;;709;7.08;1;9;;11.3;;;;;;;;;;;26.4;;;;;;;
0054/308-0;BBR 4 Wasserwerk, Bruchsal;19.06.2012 09:00;;697;7.14;0.8;8;;11.7;;;;;;;;;;;31.6;;;;;;;
0054/308-0;BBR 4 Wasserwerk, Bruchsal;13.09.2012 09:10;;695;7.33;;8;;12.4;;16;;;121;37.7;;;;11;32.8;;5.51;;79;3.68;;10
0054/308-0;BBR 4 Wasserwerk, Bruchsal;06.12.2012 08:15;;678;7.2;1;9;;11.5;;;;;;;;;;;27.9;;;;;;;
0054/308-0;BBR 4 Wasserwerk, Bruchsal;12.03.2013 10:45;;700;7.28;1;10;;10.8;;;;;;;;;;;29.9;;;;;;;
0054/308-0;BBR 4 Wasserwerk, Bruchsal;26.06.2013 07:45;;700;7.25;0.7;7;;12;;;;;;;;;;;34.9;;;;;;;
0054/308-0;BBR 4 Wasserwerk, Bruchsal;09.09.2013 14:05;;;7.11;0.7;7;;11.4;0.07;16;;;123;38;1;;0.27;11;31;;5.1;;76;3.73;;9.9
0054/308-0;BBR 4 Wasserwerk, Bruchsal;05.12.2013 09:15;;689;7.17;1.7;15;;10.3;;;;;;;;;;;25.7;;;;;;;
0054/308-0;BBR 4 Wasserwerk, Bruchsal;25.03.2014 13:08;;662;7.33;1.4;13.4;;11.6;;;;0.02;;;;;;;28;;;;;;;
0054/308-0;BBR 4 Wasserwerk, Bruchsal;12.06.2014 09:00;;689;7.15;0.8;8;;12.2;;;;;;;;;;;26.2;;;;;;;
0054/308-0;BBR 4 Wasserwerk, Bruchsal;18.09.2014 08:20;;686;7.2;0.9;8.4;;11.5;;15.2;;;119;38.2;;;;11.4;29.5;;5.02;;76.2;3.59;;10.1
0054/308-0;BBR 4 Wasserwerk, Bruchsal;08.12.2014 12:30;;695;7.33;3.8;38;;11.4;;;;0.01;;;;;;;29;;;;;;;
0054/308-0;BBR 4 Wasserwerk, Bruchsal;18.03.2015 11:25;;674;7.05;2.6;24;;11.3;;;;0.01;;;;;;;30.2;;;;;;;
0054/308-0;BBR 4 Wasserwerk, Bruchsal;10.06.2015 08:00;;679;7.11;;;;11.6;;;;;;;;;;;;;;;;;;9.8
0054/308-0;BBR 4 Wasserwerk, Bruchsal;09.09.2015 10:11;;678;7.18;1.2;11;;11.7;;14.9;0.008;;118;36;;;;12;31.2;;4.8;;74;3.56;;9.23
0054/308-0;BBR 4 Wasserwerk, Bruchsal;08.12.2015 13:30;;707;7.2;1.5;13;;11.4;;;;;;;;;;;34.1;;;;;;;
0054/308-0;BBR 4 Wasserwerk, Bruchsal;03.03.2016 13:40;;697;7.22;1;10;;11.5;;;;;;;;;;;30;;;;;;;
0054/308-0;BBR 4 Wasserwerk, Bruchsal;27.06.2016 07:45;;711;7.04;0.6;5;;11.5;;;;;;;;;;;;;;;;;;
0054/308-0;BBR 4 Wasserwerk, Bruchsal;13.09.2016 11:45;;700;7.18;1;10;;11.6;0.06;15.8;;;123;40.5;1.2;;0.10;10.9;29.4;;5.1;;75;3.72;;9.4
0054/308-0;BBR 4 Wasserwerk, Bruchsal;07.12.2016 08:00;;688;7.12;1.5;13;;11.6;;;;;;;;;;;34.4;;;;;;;
0054/308-0;BBR 4 Wasserwerk, Bruchsal;13.03.2017 08:20;;707;7.18;2.1;19;;11.3;;;;;;;;;;;33.4;;;;;;;
0054/308-0;BBR 4 Wasserwerk, Bruchsal;01.06.2017 09:45;;711;7.09;1;9.2;;11.7;;;;;;;;;;;22.3;;;;;;;
0054/308-0;BBR 4 Wasserwerk, Bruchsal;05.09.2017 09:20;;704;7.14;1.2;11;;11.6;;;;;;;;;;;34.7;;;;;;;
0054/308-0;BBR 4 Wasserwerk, Bruchsal;19.12.2017 07:30;;691;7.16;1.3;11;;11.7;;;;;;;;;;;34.3;;;;;;;
0054/308-0;BBR 4 Wasserwerk, Bruchsal;08.03.2018 09:30;;696;7.1;0.9;8.4;;11.8;;;;;;;;;;;25.5;;;;;;;
0054/308-0;BBR 4 Wasserwerk, Bruchsal;14.06.2018 08:15;;675;7.13;1.1;10;;11.9;;;;;;;;;;;34.3;;;;;;;
0054/308-0;BBR 4 Wasserwerk, Bruchsal;04.09.2018 09:20;;693;7.23;2.5;23.2;;11.9;;;;;;;;;;;33.4;;;;;;;
0054/308-0;BBR 4 Wasserwerk, Bruchsal;20.12.2018 10:10;;724;7.2;0.8;8;;11.9;;;;;;;;;;;31;;;;;;;
0054/308-0;BBR 4 Wasserwerk, Bruchsal;19.02.2019 07:45;;680;;0.6;5;;10.9;0.08;17.2;;;128.3;45.7;1.4;;0.16;12.2;;;5.1;;80;3.91;;10.8
0054/308-0;BBR 4 Wasserwerk, Bruchsal;05.06.2019 08:00;;679;7.11;1;9;;12;;;;;;;;;;;34.2;;;;;;;
0054/308-0;BBR 4 Wasserwerk, Bruchsal;17.09.2019 14:00;;720;7.12;1.1;10;;11.8;;;;;;;;;;;38.2;;;;;;;
0054/308-0;BBR 4 Wasserwerk, Bruchsal;12.12.2019 07:45;;714;7.26;0.9;9;;12.2;;;;;;;;;;;;;;;;;;
0244/307-5;BBR 5 Südzucker AG (ehemalig), Waghäusel;07.09.2006 12:35;319;725;7.25;;;;11.9;;;;0.93;;;;;;;;;;;;;;
0244/307-5;BBR 5 Südzucker AG (ehemalig), Waghäusel;21.03.2007 16:42;303;720;7.33;0.1;1;;11.8;;;;;;;;;;;;;;;;;;
0244/307-5;BBR 5 Südzucker AG (ehemalig), Waghäusel;20.09.2007 16:03;306;728;;0.1;0.1;;11.9;;17.6;;0.61;120;34.9;;;;17.2;;0.098;5.28;;124;3.72;;4.9
0244/307-5;BBR 5 Südzucker AG (ehemalig), Waghäusel;10.03.2008 15:55;312;735;;0.6;5.8;;11.7;;;;0.92;;;;;;;0.7;;;;;;;
0244/307-5;BBR 5 Südzucker AG (ehemalig), Waghäusel;10.09.2008 11:15;314;723;7.31;0.4;4;;12.3;;18.9;0.31;0.91;115;38.1;;;;18.5;;0.1;5.55;;111;3.64;;4.85
0244/307-5;BBR 5 Südzucker AG (ehemalig), Waghäusel;16.03.2009 13:00;308;746;7.07;1.1;11.4;;11.6;;;;0.90;;;;;;;0.6;;;;;;;
0244/307-5;BBR 5 Südzucker AG (ehemalig), Waghäusel;15.06.2009 11:55;305;752;7.26;0.1;0.9;;12;0.12;18.6;0.067;0.88;126.2;35.7;1.7;0.953;1.08;18;;0.1;5.5;;130;3.91;9.7;5.1
0244/307-5;BBR 5 Südzucker AG (ehemalig), Waghäusel;22.09.2009 16:10;320;750;7.23;;;;12.2;;;0.246;0.85;155;40;;;;19.6;;0.084;5.6;;132;4.22;;4.6
0244/307-5;BBR 5 Südzucker AG (ehemalig), Waghäusel;02.03.2010 16:26;300;744;7.34;0.4;3.4;;11.5;;;;0.74;;;;;;;;;;;;;;
0244/307-5;BBR 5 Südzucker AG (ehemalig), Waghäusel;08.09.2010 11:48;;742;7.24;;4.8;;11.9;;18.8;0.1;0.83;125;34.2;;;;19.3;;0.11;5.61;;128;3.89;;5.1
0244/307-5;BBR 5 Südzucker AG (ehemalig), Waghäusel;01.03.2011 13:55;275;765;7.31;1.7;18;;11.7;;;;0.88;;;;;;;;;;;;;;
0244/307-5;BBR 5 Südzucker AG (ehemalig), Waghäusel;05.09.2011 14:40;304;695;7.34;0.2;2;;12.1;;19;0.37;0.81;128;32.7;;;;18;;0.14;5.57;;122;3.98;;5.6
